 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MAX_IF43b-2_001_thumb_w1405-0001-1,15896,255.0000,0.0000,255,255,255,94.0070,180.3780,94.0070,180.3780,500.9020,14,112,165,137,167.2780,120.9930,16.0420,0.7960,166.3880,4053480.0000,255,,,100,4053480.0000,1,21,214,22.2490,127.2750,1.3830,0.7230,0.9460
2,MAX_IF43b-2_001_thumb_w1405-0001-1,15867,255.0000,0.0000,255,255,255,506.8740,217.8150,506.8740,217.8150,482.4160,429,152,157,133,152.8020,132.2140,4.1680,0.8570,157.5370,4046085.0000,255,,,100,4046085.0000,1,429,223,4.7330,130.6720,1.1560,0.8650,0.9760
3,MAX_IF43b-2_001_thumb_w1405-0001-1,22216,255.0000,0.0000,255,255,255,493.8800,379.7920,493.8800,379.7920,591.6300,402,303,180,164,176.5920,160.1790,11.4460,0.7980,188.8540,5665080.0000,255,,,100,5665080.0000,1,405,409,22.0830,163.5560,1.1020,0.9070,0.9560
4,MAX_IF43b-2_001_thumb_w1405-0001-1,10952,255.0000,0.0000,255,255,255,248.2130,475.0680,248.2130,475.0680,416.2740,178,415,132,118,138.3640,100.7810,27.9000,0.7940,139.6710,2792760.0000,255,,,100,2792760.0000,1,181,499,29.1340,100.3790,1.3730,0.7280,0.9560
5,MAX_IF43b-2_001_thumb_w1405-0001-1,5066,255.0000,0.0000,255,255,255,902.2040,530.4880,902.2040,530.4880,286.1490,867,487,78,96,95.5930,67.4760,77.8120,0.7770,97.1650,1291830.0000,255,,,100,1291830.0000,1,894,487,98.8810,68.5990,1.4170,0.7060,0.9450
6,MAX_IF43b-2_001_thumb_w1405-0001-1,5456,255.0000,0.0000,255,255,255,955.2160,563.8740,955.2160,563.8740,302.7770,910,508,85,103,96.8560,71.7230,85.6450,0.7480,104.3930,1391280.0000,255,,,100,1391280.0000,1,945,508,99.3720,73.6710,1.3500,0.7410,0.9270
7,MAX_IF43b-2_001_thumb_w1405-0001-1,26329,255.0000,0.0000,255,255,255,542.2120,695.2900,542.2120,695.2900,619.8130,449,604,194,175,195.7630,171.2430,4.0420,0.8610,202.8050,6713895.0000,255,,,100,6713895.0000,1,456,750,29.2190,172.2820,1.1430,0.8750,0.9830
8,MAX_IF43b-2_001_thumb_w1405-0001-1,7297,255.0000,0.0000,255,255,255,190.1010,817.5410,190.1010,817.5410,352.7350,147,759,85,119,117.4780,79.0860,94.3990,0.7370,120.6690,1860735.0000,255,,,100,1860735.0000,1,174,878,80.4600,76.4590,1.4850,0.6730,0.9560
9,MAX_IF43b-2_001_thumb_w1405-0001-1,12835,255.0000,0.0000,255,255,255,103.4790,837.5180,103.4790,837.5180,468.8180,44,769,129,137,145.4130,112.3840,116.7990,0.7340,160.4310,3272925.0000,255,,,100,3272925.0000,1,46,782,140.0570,112.9100,1.2940,0.7730,0.9260
10,MAX_IF43b-2_001_thumb_w1405-0001-1,12269,255.0000,0.0000,255,255,255,401.3800,1006.3930,401.3800,1006.3930,430.3750,339,940,125,131,128.6810,121.3960,85.3040,0.8320,135.2480,3128595.0000,255,,,100,3128595.0000,1,362,950,128.3950,123.2480,1.0600,0.9430,0.9610
